feature,coefficient,odds_ratio
cat__education_Other,-0.7340122704460783,0.47997931467010274
num__revolving_months,-0.6016859506630754,0.5478871462933296
num__pay_0,0.41087709784601356,1.5081399915139397
num__utilization_avg,0.35857705166125303,1.4312913112527652
num__delinquent_months,0.29476226067494754,1.3428070826860368
cat__education_University,0.23269908970337602,1.2620016728885644
num__limit_bal,-0.21946557503978667,0.8029477986632807
num__utilization,-0.18431604022833462,0.8316729201883613
num__consecutive_late,-0.18115926271803848,0.8343024748345396
cat__marriage_Single,-0.18061183039879863,0.8347593240088782
num__payment_ratio_avg,-0.1760815255964706,0.8385496172926006
num__pay_amt1,-0.16879769729257355,0.8446797671061489
num__max_delinquency,0.16490548979938652,1.1792816592982478
cat__education_Graduate school,0.16141337257745741,1.175170651744217
cat__education_High school,0.1529936013164227,1.1653175224207888
cat__sex_Female,-0.14648917899140465,0.8637350787689048
num__utilization_max,-0.12540958317416473,0.882135520715063
num__utilization_trend,0.10777943852469038,1.113802056467931
num__balance_growth,-0.08023193365349092,0.9229022694666019
num__zero_payment_months,0.07791126349510341,1.0810267278803327
num__payment_to_limit,0.0746956172622759,1.077556111483134
num__bill_amt1,0.07172542122873929,1.074360307027219
num__over_limit,0.06139380728566527,1.0633175739537504
cat__marriage_Married,-0.05237369120090656,0.9489741772748966
num__payment_ratio,-0.04811247207279081,0.9530265921731548
cat__marriage_Other,0.04607931475088511,1.047157462696571
cat__sex_Male,-0.04041702785742175,0.9603888467259863
num__age,0.017574121461505946,1.017729454949751
