fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0007535795026375283,0.7286956649930307
0.0,0.002260738507912585,0.7264365257583238
0.00021399529210357372,0.002260738507912585,0.7208370715849035
0.00021399529210357372,0.003014318010550113,0.7188414918277236
0.00042799058420714745,0.003014318010550113,0.7179243502656665
0.00042799058420714745,0.0037678975131876413,0.714167536625969
0.0006419858763107211,0.0037678975131876413,0.7138209599931264
0.0006419858763107211,0.0052750565184626974,0.7086974209411518
0.0008559811684142949,0.0052750565184626974,0.7086215935811374
0.0008559811684142949,0.014318010550113038,0.7005893071757006
0.0010699764605178687,0.014318010550113038,0.6999935853402961
0.0010699764605178687,0.015071590052750565,0.6994757193181432
0.0012839717526214422,0.015071590052750565,0.6988750708051517
0.0012839717526214422,0.01808590806330068,0.6946902150552979
0.001497967044725016,0.01808590806330068,0.6933559878382116
0.001497967044725016,0.02110022607385079,0.6906948256199544
0.0017119623368285898,0.02110022607385079,0.6906167470913921
0.0017119623368285898,0.023360964581763375,0.6883038964375975
0.0019259576289321636,0.023360964581763375,0.688021668268891
0.0019259576289321636,0.024114544084400905,0.6877816484362148
0.0025679435052428845,0.024114544084400905,0.6869385853833229
0.0025679435052428845,0.027128862094951016,0.6860442194394124
0.002995934089450032,0.027128862094951016,0.6857193358030015
0.002995934089450032,0.027882441597588545,0.6855614228772375
0.003209929381553606,0.027882441597588545,0.6852553248134132
0.003209929381553606,0.03240391861341371,0.6803899880275882
0.0034239246736571796,0.03240391861341371,0.6799929332348765
0.0034239246736571796,0.03692539562923888,0.6736025162415049
0.0036379199657607534,0.03692539562923888,0.6728652610718202
0.0036379199657607534,0.039939713639788994,0.6716729965178675
0.003851915257864327,0.039939713639788994,0.6713912231661447
0.003851915257864327,0.04220045214770158,0.6701276290573127
0.0044939011341750485,0.04220045214770158,0.6685532949426176
0.0044939011341750485,0.0452147701582517,0.6676105286839377
0.005135887010485769,0.0452147701582517,0.6668615162857732
0.005135887010485769,0.045968349660889224,0.6668044897678908
0.0055638775946929165,0.045968349660889224,0.6652554372625972
0.0055638775946929165,0.04672192916352675,0.6650858787671974
0.005991868178900064,0.04672192916352675,0.6641107196675707
0.005991868178900064,0.05199698568198945,0.6627575581222915
0.006205863471003638,0.05199698568198945,0.6617387201446632
0.006205863471003638,0.055011303692539565,0.6596390510421647
0.006419858763107212,0.055011303692539565,0.6588807813600009
0.006419858763107212,0.06103993971363979,0.6552711297800455
0.006633854055210785,0.06103993971363979,0.6552057024814041
0.006633854055210785,0.06254709871891484,0.654575592026941
0.006847849347314359,0.06254709871891484,0.6544427867725658
0.006847849347314359,0.0640542577241899,0.6543599933483087
0.007061844639417933,0.0640542577241899,0.6543548525297843
0.007061844639417933,0.06480783722682742,0.654217585724837
0.007275839931521507,0.06480783722682742,0.653946541239664
0.007275839931521507,0.0693293142426526,0.6519939651631392
0.0074898352236250805,0.0693293142426526,0.6515411480001582
0.0074898352236250805,0.0746043707611153,0.6493767374563292
0.007703830515728654,0.0746043707611153,0.6489161905569718
0.007703830515728654,0.08063300678221552,0.6472871928997945
