tier,label,pd_min,pd_max,n,share,observed_default_rate,avg_pd,avg_ead,total_el,el_per_account
A,Super prime,0.0,0.08,984,0.164,0.052845528455284556,0.07232626189424202,99551.72469512194,5318232.398626029,5404.707722180923
B,Prime,0.08,0.15,1735,0.2891666666666667,0.1100864553314121,0.11361114390273418,66956.14853025938,10069743.91325638,5803.886981703966
C,Near prime,0.15,0.25,1643,0.2738333333333333,0.17954960438222764,0.1851449703318021,50647.56707242849,11166474.750166295,6796.39363978472
D,Subprime,0.25,0.4,694,0.11566666666666667,0.30403458213256485,0.32222904556859583,36204.199855907784,6036863.554912671,8698.650655493762
E,High risk,0.4,1.01,944,0.15733333333333333,0.6122881355932204,0.5645719171690003,61656.4093220339,25307920.344652828,26809.23765323393
