fpr,tpr,threshold
0.0,0.0,inf
0.0055638775946929165,0.0828937452901281,0.6439780507102802
0.00577787288679649,0.09118311981914091,0.6416175834652935
0.006205863471003638,0.09570459683496609,0.6390244892884188
0.006633854055210785,0.0987189148455162,0.6382212108506874
0.006633854055210785,0.10022607385079126,0.63633037788163
0.007061844639417933,0.10173323285606632,0.6339449059432766
0.007061844639417933,0.10324039186134137,0.6316084255282401
0.007703830515728654,0.10474755086661643,0.6293946530422091
0.007917825807832228,0.10474755086661643,0.6292082355155603
0.00855981168414295,0.11529766390354182,0.6288244498011241
0.00855981168414295,0.11605124340617935,0.6269877525144834
0.008773806976246523,0.11605124340617935,0.6261873028747879
0.010271774020971538,0.14091936699321778,0.6241034994105602
0.010699764605178685,0.1461944235116805,0.623770895030237
0.01091375989728226,0.1461944235116805,0.6183622279117279
0.014123689278835866,0.1710625470987189,0.6168457725072345
0.019901562165632356,0.20723436322532027,0.6162593152608005
0.02182751979456452,0.22532027128862095,0.6159236932171936
0.02246950567087524,0.23360964581763377,0.6147969824073141
0.022683500962978814,0.23360964581763377,0.6144031252287089
0.02311149154718596,0.2351168048229088,0.6123488694138111
0.023325486839289537,0.23587038432554636,0.6114222416638246
0.023325486839289537,0.23888470233609646,0.6108913723964365
0.02353948213139311,0.23888470233609646,0.6088294760266973
0.02460945859191098,0.25169555388093445,0.6068717333228304
0.02482345388401455,0.2532027128862095,0.6067738762177892
0.025037449176118127,0.25998492840994725,0.6062349868202744
0.025465439760325274,0.26224566691785983,0.6058958125851961
0.029103359726086027,0.2750565184626978,0.6044034580412238
0.029745345602396746,0.2773172569706104,0.6019876151570646
0.030173336186603894,0.2788244159758855,0.6017807580539685
0.03038733147870747,0.28108515448379806,0.5997002363030393
0.037021185533918255,0.306706857573474,0.5987843572520319
0.0374491761181254,0.3082140165787491,0.5967524061748837
0.038305157286539694,0.3082140165787491,0.5942606540637252
0.03851915257864327,0.31047475508666167,0.5938631910406652
0.038733147870746845,0.31122833458929916,0.5915591328150994
0.038733147870746845,0.31273549359457425,0.5865498337610923
0.038733147870746845,0.3142426525998493,0.5764159301089352
0.03937513374705756,0.3142426525998493,0.5632281380797518
0.03937513374705756,0.3165033911077619,0.5518485922421044
0.03937513374705756,0.3180105501130369,0.5475467792511608
0.03937513374705756,0.31951770911831195,0.5452905301010813
0.03958912903916114,0.31951770911831195,0.5349945193536301
0.03980312433126471,0.32102486812358705,0.5167459912757303
0.03980312433126471,0.32177844762622454,0.5160137955953786
0.04451102075754333,0.3458929917106255,0.5136337571896173
0.04493901134175048,0.346646571213263,0.5049465506246682
0.04622298309437192,0.3496608892238131,0.5041705444664795
0.04900492189171838,0.3602110022607385,0.5009159742060667
0.04900492189171838,0.3617181612660136,0.49845422634469405
0.04921891718382196,0.3617181612660136,0.4980540336597241
0.04921891718382196,0.3632253202712886,0.4965929055552812
0.04921891718382196,0.36473247927656366,0.4964782249201832
0.04921891718382196,0.3654860587792012,0.4954855065788018
0.04943291247592553,0.36623963828183875,0.4944255630064097
0.04943291247592553,0.36699321778447624,0.4942068461564587
0.049860903060132675,0.3700075357950264,0.4914582602008342
0.050074898352236254,0.3700075357950264,0.4898724508841164
0.0505028889364434,0.3700075357950264,0.4853511032412026
0.05135887010485769,0.3700075357950264,0.47887755261475407
0.053712818317997006,0.37452901281085155,0.4787435682684075
0.05392681361010058,0.37452901281085155,0.478040152441239
0.05478279477851487,0.37452901281085155,0.4773981501789644
0.054996790070618445,0.37452901281085155,0.47623311035623006
0.054996790070618445,0.3752825923134891,0.475045303723781
0.055424780654825596,0.3760361718161266,0.47360060678767696
0.05563877594692917,0.3760361718161266,0.4701681023437955
0.05585277123903274,0.37678975131876413,0.4701012116297851
0.05713674299165419,0.3835719668425019,0.46933043001714325
0.05735073828375776,0.3835719668425019,0.4690403466648155
0.05735073828375776,0.38432554634513943,0.4670736020056788
0.05756473357586133,0.38432554634513943,0.46609994164330626
0.05756473357586133,0.3850791258477769,0.4632620693349671
0.0577787288679649,0.3850791258477769,0.46098037343478593
0.058420714744275626,0.3850791258477769,0.46070797424334503
0.058420714744275626,0.3858327053504145,0.45966064478821433
0.0586347100363792,0.386586284853052,0.4591394499022406
0.0586347100363792,0.3873398643556895,0.4591158544524997
0.05949069120479349,0.39412207987942727,0.45710564064702186
0.059918681789000644,0.39638281838733985,0.45673204010380813
0.059918681789000644,0.39939713639789,0.4564435201750206
0.06034667237320779,0.40015071590052753,0.4539062910326634
0.06056066766531136,0.40165787490580257,0.45269967306436026
0.06077466295741494,0.40165787490580257,0.4517759536560846
0.06098865824951851,0.4024114544084401,0.45069849086090064
0.061416648833725655,0.4024114544084401,0.44779879535227324
0.061844639417932806,0.4024114544084401,0.4477786385395066
0.06205863471003638,0.4031650339110776,0.4471198145855296
0.06227263000213995,0.4031650339110776,0.44687198523160887
0.06227263000213995,0.40391861341371516,0.44682304373327736
0.06248662529424353,0.40391861341371516,0.4468077422858497
0.06291461587845068,0.40617935192162774,0.44460200932918603
0.06419858763107211,0.4069329314242653,0.44285965903400615
0.06419858763107211,0.4076865109269028,0.4414050296935278
0.06505456879948641,0.4076865109269028,0.4392903447311608
0.06548255938369356,0.4084400904295403,0.4391995122987029
0.06633854055210785,0.4084400904295403,0.4390437259431017
0.06633854055210785,0.40994724943481536,0.4382434963019256
0.06655253584421143,0.40994724943481536,0.4377834439805102
0.066766531136315,0.4114544084400904,0.43534385677198817
0.06698052642841858,0.4114544084400904,0.4343759176878829
0.06698052642841858,0.41220798794272795,0.43361220446887605
0.06719452172052215,0.41220798794272795,0.43330277596705424
0.06719452172052215,0.4129615674453655,0.43273896323212874
0.0676225123047293,0.4129615674453655,0.43270880601254996
0.06805050288893644,0.413715146948003,0.43218852991011164
0.0684784934731436,0.413715146948003,0.428574313610739
0.06869248876524717,0.41446872645064053,0.42755823461851283
0.06933447464155788,0.41446872645064053,0.42466313149761437
0.06976246522576503,0.41446872645064053,0.4242309083659316
0.06997646051786861,0.4152223059532781,0.4231711707356118
0.06997646051786861,0.41823662396382816,0.42313035729296883
0.07104643697838647,0.42049736247174074,0.42295120195297803
0.07104643697838647,0.4212509419743783,0.42053793632369585
0.07126043227049005,0.4212509419743783,0.4177073527653334
0.07147442756259362,0.42200452147701584,0.41760661002988914
0.07211641343890435,0.42200452147701584,0.41451226450814344
0.07275839931521506,0.42200452147701584,0.4140632784933101
0.07318638989942221,0.42200452147701584,0.4138450621545798
0.07468435694414723,0.4272795779954785,0.4130095684543525
0.07468435694414723,0.4287867370007536,0.4091180567818207
0.0748983522362508,0.4287867370007536,0.40892457453379455
0.07511234752835437,0.4295403165033911,0.4088891141238854
0.07554033811256153,0.4295403165033911,0.40814967376633376
0.07554033811256153,0.43029389600602863,0.4072768809360657
0.07554033811256153,0.4325546345139412,0.4059941537165251
0.0757543334046651,0.43406179351921625,0.4058521131228927
0.07618232398887224,0.43406179351921625,0.40582471515521373
0.07639631928097582,0.43406179351921625,0.40534206178005494
0.07682430986518296,0.43406179351921625,0.40529785664550655
0.07746629574149369,0.43406179351921625,0.40444044129069795
0.07746629574149369,0.43556895252449135,0.40357741835964633
0.07768029103359726,0.43556895252449135,0.40308855849204656
0.07832227690990798,0.43556895252449135,0.40151170478499537
0.07832227690990798,0.43632253202712884,0.39966994851539944
0.07832227690990798,0.43782969103240393,0.39953362396821224
0.07832227690990798,0.4385832705350414,0.39904139215753204
0.07853627220201155,0.4400904295403165,0.39719362602895075
0.07896426278621871,0.4400904295403165,0.3961150296413736
0.07896426278621871,0.440844009042954,0.39511814218445496
0.07939225337042585,0.44159758854559156,0.3941320559601791
0.07939225337042585,0.4423511680482291,0.3923113229833435
0.0806762251230473,0.4423511680482291,0.39217388064021425
0.08089022041515087,0.4423511680482291,0.39213952272869446
0.08153220629146159,0.4461190655614167,0.39160596848660073
0.08174620158356516,0.4461190655614167,0.39077325092382076
0.08174620158356516,0.4468726450640543,0.3907607653831865
0.08196019687566873,0.4483798040693293,0.39064977354982533
0.0821741921677723,0.44913338357196686,0.386909725408955
0.08238818745987589,0.4506405425772419,0.3868949142955697
0.08238818745987589,0.45139412207987945,0.38667434030707454
0.08281617804408303,0.4529012810851545,0.38594238339032066
0.08345816392039375,0.4559155990957046,0.385886716389287
0.08367215921249732,0.4559155990957046,0.38529213245249677
0.0847421356730152,0.46721929163526754,0.38522421406204915
0.08602610742563664,0.46721929163526754,0.38237501000074425
0.08624010271774021,0.46721929163526754,0.38202647887161245
0.08666809330194736,0.46797287113790503,0.38164990487742717
0.0870960838861545,0.46797287113790503,0.3781478328009076
0.0870960838861545,0.4694800301431801,0.37777999419406133
0.0870960838861545,0.47098718914845517,0.37569059510066355
0.08773806976246523,0.47098718914845517,0.3735967828270688
0.08773806976246523,0.4717407686510927,0.3731973068499747
0.08859405093087952,0.4717407686510927,0.3647008524557959
0.09052000855981168,0.4747550866616428,0.36451809043801675
0.09052000855981168,0.4770158251695554,0.364274771925807
0.09073400385191525,0.47927656367746796,0.357928655508474
0.09158998502032956,0.47927656367746796,0.3557152507668144
0.09479991440188316,0.4875659382064808,0.3556245314983461
0.09501390969398674,0.4875659382064808,0.3555229467102987
0.09865182965974749,0.4996232102486812,0.35546179760901686
0.09886582495185106,0.4996232102486812,0.3552060256009003
0.0992938155360582,0.4996232102486812,0.35397332305531426
0.09950781082816178,0.4996232102486812,0.3531298522574146
