cutoff,approval_rate,approved_bad_rate,defaults_caught,precision_at_reject,expected_loss_approved,el_per_account
0.08,0.164,0.052845528455284556,0.9608138658628486,0.2541866028708134,5318232.398626029,5404.707722180923
0.1,0.2755,0.06352087114337568,0.9208741522230596,0.28111341154819414,7847860.026010744,4747.646718699785
0.12,0.333,0.07207207207207207,0.8914845516201959,0.29560219890054973,9929236.413962025,4969.587794775788
0.15,0.45316666666666666,0.0893710923133505,0.8168801808590807,0.33038707711063703,15387976.31188241,5659.424903230015
0.18,0.5945,0.10793383795906925,0.7098718914845517,0.3871763255240444,22138818.8405253,6206.565416463499
0.2,0.6588333333333334,0.11662028838856564,0.6525998492840994,0.4230581338544211,24116862.032943144,6100.901096115139
0.22,0.6863333333333334,0.1192326372025255,0.6299924642049737,0.4442082890541977,24654251.222274534,5986.947844165744
0.25,0.727,0.12333791838606144,0.5945742275810098,0.4816849816849817,26554451.062048707,6087.67791427068
0.3,0.7713333333333333,0.13050993949870354,0.544837980406933,0.5269679300291545,28870013.3272116,6238.118696458859
0.4,0.8426666666666667,0.14814082278481014,0.43556895252449135,0.6122881355932204,32591314.616961382,6446.066973291413
0.5,0.882,0.1602418745275888,0.36096458176337604,0.6765536723163842,35950037.102377385,6793.279875732688
